Border,Date,Measure,Value,Average
US-Mexico Border,07/01/2006 12:00:00 AM,Rail Containers Empty,32353,31009
US-Mexico Border,07/01/2006 12:00:00 AM,Rail Containers Full,28533,27603
US-Mexico Border,07/01/2006 12:00:00 AM,Buses,23258,19163
US-Canada Border,07/01/2006 12:00:00 AM,Buses,14914,10812
US-Canada Border,07/01/2006 12:00:00 AM,Trains,2597,2514
US-Mexico Border,07/01/2006 12:00:00 AM,Train Passengers,1781,1039
US-Mexico Border,07/01/2006 12:00:00 AM,Trains,818,722
US-Mexico Border,07/01/2005 12:00:00 AM,Personal Vehicle Passengers,16350161,14103214
US-Mexico Border,07/01/2005 12:00:00 AM,Personal Vehicles,7759514,6537970
US-Canada Border,07/01/2005 12:00:00 AM,Personal Vehicle Passengers,7544408,5228830
US-Mexico Border,07/01/2005 12:00:00 AM,Pedestrians,3862272,3705689
US-Canada Border,07/01/2005 12:00:00 AM,Personal Vehicles,3412268,2511880
US-Canada Border,07/01/2005 12:00:00 AM,Trucks,505642,513700
US-Canada Border,07/01/2005 12:00:00 AM,Truck Containers Full,440255,382018
US-Canada Border,07/01/2005 12:00:00 AM,Bus Passengers,415110,254439
US-Mexico Border,07/01/2005 12:00:00 AM,Trucks,361828,402410
US-Mexico Border,07/01/2005 12:00:00 AM,Bus Passengers,360213,241273
US-Mexico Border,07/01/2005 12:00:00 AM,Truck Containers Full,231204,259541
US-Mexico Border,07/01/2005 12:00:00 AM,Truck Containers Empty,135959,140633
US-Canada Border,07/01/2005 12:00:00 AM,Rail Containers Full,116478,107776
US-Canada Border,07/01/2005 12:00:00 AM,Pedestrians,115891,39935
US-Canada Border,07/01/2005 12:00:00 AM,Truck Containers Empty,75749,88392
US-Canada Border,07/01/2005 12:00:00 AM,Rail Containers Empty,42600,43388
US-Canada Border,07/01/2005 12:00:00 AM,Train Passengers,35092,19107
US-Mexico Border,07/01/2005 12:00:00 AM,Rail Containers Empty,28324,31027
US-Mexico Border,07/01/2005 12:00:00 AM,Rail Containers Full,24603,27623
US-Mexico Border,07/01/2005 12:00:00 AM,Buses,22871,19139
US-Canada Border,07/01/2005 12:00:00 AM,Buses,16992,10771
US-Canada Border,07/01/2005 12:00:00 AM,Trains,2574,2513
US-Mexico Border,07/01/2005 12:00:00 AM,Train Passengers,1200,1038
US-Mexico Border,07/01/2005 12:00:00 AM,Trains,773,722
US-Mexico Border,07/01/2004 12:00:00 AM,Personal Vehicle Passengers,17637200,14079964
US-Mexico Border,07/01/2004 12:00:00 AM,Personal Vehicles,7614810,6530885
US-Canada Border,07/01/2004 12:00:00 AM,Personal Vehicle Passengers,7512931,5213803
US-Mexico Border,07/01/2004 12:00:00 AM,Pedestrians,4146806,3702787
US-Canada Border,07/01/2004 12:00:00 AM,Personal Vehicles,3273262,2506871
US-Canada Border,07/01/2004 12:00:00 AM,Trucks,548029,513474
US-Canada Border,07/01/2004 12:00:00 AM,Truck Containers Full,467295,381457
US-Canada Border,07/01/2004 12:00:00 AM,Bus Passengers,451135,253145
US-Mexico Border,07/01/2004 12:00:00 AM,Trucks,366672,402645
US-Mexico Border,07/01/2004 12:00:00 AM,Bus Passengers,345435,240588
US-Mexico Border,07/01/2004 12:00:00 AM,Truck Containers Full,228597,259744
US-Canada Border,07/01/2004 12:00:00 AM,Pedestrians,186122,38974
US-Mexico Border,07/01/2004 12:00:00 AM,Truck Containers Empty,140260,140636
US-Canada Border,07/01/2004 12:00:00 AM,Rail Containers Full,115009,107728
US-Canada Border,07/01/2004 12:00:00 AM,Truck Containers Empty,75755,88475
US-Canada Border,07/01/2004 12:00:00 AM,Rail Containers Empty,38966,43417
US-Canada Border,07/01/2004 12:00:00 AM,Train Passengers,29047,19042
US-Mexico Border,07/01/2004 12:00:00 AM,Rail Containers Empty,27905,31047
US-Mexico Border,07/01/2004 12:00:00 AM,Rail Containers Full,25192,27639
US-Mexico Border,07/01/2004 12:00:00 AM,Buses,23671,19109
US-Canada Border,07/01/2004 12:00:00 AM,Buses,17794,10725
US-Canada Border,07/01/2004 12:00:00 AM,Trains,2703,2512
US-Mexico Border,07/01/2004 12:00:00 AM,Train Passengers,962,1039
US-Mexico Border,07/01/2004 12:00:00 AM,Trains,644,722
US-Mexico Border,07/01/2003 12:00:00 AM,Personal Vehicle Passengers,15860976,14068170
US-Canada Border,07/01/2003 12:00:00 AM,Personal Vehicle Passengers,7208227,5200595
US-Mexico Border,07/01/2003 12:00:00 AM,Personal Vehicles,6821156,6528963
US-Canada Border,07/01/2003 12:00:00 AM,Personal Vehicles,3337805,2501368
US-Mexico Border,07/01/2003 12:00:00 AM,Pedestrians,3265952,3705680
US-Canada Border,07/01/2003 12:00:00 AM,Trucks,519619,513433
US-Canada Border,07/01/2003 12:00:00 AM,Truck Containers Full,449631,381005
US-Canada Border,07/01/2003 12:00:00 AM,Bus Passengers,397248,252190
US-Mexico Border,07/01/2003 12:00:00 AM,Bus Passengers,387466,239615
US-Mexico Border,07/01/2003 12:00:00 AM,Trucks,329586,403129
US-Mexico Border,07/01/2003 12:00:00 AM,Truck Containers Full,214133,260046
US-Canada Border,07/01/2003 12:00:00 AM,Pedestrians,159371,38176
US-Mexico Border,07/01/2003 12:00:00 AM,Truck Containers Empty,141415,140630
US-Canada Border,07/01/2003 12:00:00 AM,Rail Containers Full,105347,107744
US-Canada Border,07/01/2003 12:00:00 AM,Truck Containers Empty,75514,88561
US-Canada Border,07/01/2003 12:00:00 AM,Rail Containers Empty,39847,43440
US-Canada Border,07/01/2003 12:00:00 AM,Train Passengers,28479,18979
US-Mexico Border,07/01/2003 12:00:00 AM,Rail Containers Empty,26548,31077
US-Mexico Border,07/01/2003 12:00:00 AM,Buses,24716,19072
US-Mexico Border,07/01/2003 12:00:00 AM,Rail Containers Full,21655,27678
US-Canada Border,07/01/2003 12:00:00 AM,Buses,16536,10687
US-Canada Border,07/01/2003 12:00:00 AM,Trains,2836,2510
US-Mexico Border,07/01/2003 12:00:00 AM,Train Passengers,848,1040
US-Mexico Border,07/01/2003 12:00:00 AM,Trains,627,723
US-Mexico Border,07/01/2002 12:00:00 AM,Personal Vehicle Passengers,17445601,14045653
US-Canada Border,07/01/2002 12:00:00 AM,Personal Vehicle Passengers,7927765,5182413
US-Mexico Border,07/01/2002 12:00:00 AM,Personal Vehicles,7715526,6521052
US-Mexico Border,07/01/2002 12:00:00 AM,Pedestrians,4251413,3702042
US-Canada Border,07/01/2002 12:00:00 AM,Personal Vehicles,3443703,2495086
US-Canada Border,07/01/2002 12:00:00 AM,Trucks,552454,513173
US-Canada Border,07/01/2002 12:00:00 AM,Bus Passengers,515712,250433
US-Canada Border,07/01/2002 12:00:00 AM,Truck Containers Full,466048,380438
US-Mexico Border,07/01/2002 12:00:00 AM,Bus Passengers,400958,238539
US-Mexico Border,07/01/2002 12:00:00 AM,Trucks,375233,403315
US-Canada Border,07/01/2002 12:00:00 AM,Pedestrians,215313,36995
US-Mexico Border,07/01/2002 12:00:00 AM,Truck Containers Full,205279,260412
US-Mexico Border,07/01/2002 12:00:00 AM,Truck Containers Empty,166593,140457
US-Canada Border,07/01/2002 12:00:00 AM,Rail Containers Full,104621,107765
US-Canada Border,07/01/2002 12:00:00 AM,Truck Containers Empty,79965,88618
US-Canada Border,07/01/2002 12:00:00 AM,Rail Containers Empty,38281,43475
US-Canada Border,07/01/2002 12:00:00 AM,Train Passengers,37082,18859
US-Mexico Border,07/01/2002 12:00:00 AM,Buses,26937,19020
US-Mexico Border,07/01/2002 12:00:00 AM,Rail Containers Empty,26717,31106
US-Mexico Border,07/01/2002 12:00:00 AM,Rail Containers Full,23167,27708
US-Canada Border,07/01/2002 12:00:00 AM,Buses,19998,10625
US-Canada Border,07/01/2002 12:00:00 AM,Trains,2787,2508
US-Mexico Border,07/01/2002 12:00:00 AM,Train Passengers,1204,1039
US-Mexico Border,07/01/2002 12:00:00 AM,Trains,644,723
US-Mexico Border,07/01/2001 12:00:00 AM,Personal Vehicle Passengers,18361146,14016690
US-Canada Border,07/01/2001 12:00:00 AM,Personal Vehicle Passengers,9449454,5153776
US-Mexico Border,07/01/2001 12:00:00 AM,Personal Vehicles,8106637,6510411
US-Mexico Border,07/01/2001 12:00:00 AM,Pedestrians,4563957,3696257
US-Canada Border,07/01/2001 12:00:00 AM,Personal Vehicles,4026527,2484808
US-Canada Border,07/01/2001 12:00:00 AM,Bus Passengers,532543,248540
US-Canada Border,07/01/2001 12:00:00 AM,Trucks,528769,513069
US-Canada Border,07/01/2001 12:00:00 AM,Truck Containers Full,457842,379919
US-Mexico Border,07/01/2001 12:00:00 AM,Trucks,342869,403721
US-Mexico Border,07/01/2001 12:00:00 AM,Bus Passengers,338325,237870
US-Mexico Border,07/01/2001 12:00:00 AM,Truck Containers Full,189826,260885
US-Mexico Border,07/01/2001 12:00:00 AM,Truck Containers Empty,160790,140321
US-Canada Border,07/01/2001 12:00:00 AM,Pedestrians,130757,36366
US-Canada Border,07/01/2001 12:00:00 AM,Rail Containers Full,96683,107839
US-Canada Border,07/01/2001 12:00:00 AM,Truck Containers Empty,79216,88681
US-Canada Border,07/01/2001 12:00:00 AM,Rail Containers Empty,37946,43512
US-Canada Border,07/01/2001 12:00:00 AM,Train Passengers,35420,18747
US-Mexico Border,07/01/2001 12:00:00 AM,Buses,25574,18976
US-Mexico Border,07/01/2001 12:00:00 AM,Rail Containers Full,22695,27742
US-Mexico Border,07/01/2001 12:00:00 AM,Rail Containers Empty,21475,31171
US-Canada Border,07/01/2001 12:00:00 AM,Buses,21189,10554
US-Canada Border,07/01/2001 12:00:00 AM,Trains,2733,2506
US-Mexico Border,07/01/2001 12:00:00 AM,Train Passengers,1477,1036
US-Mexico Border,07/01/2001 12:00:00 AM,Trains,636,724
US-Mexico Border,07/01/2000 12:00:00 AM,Personal Vehicle Passengers,20510593,13972813
US-Canada Border,07/01/2000 12:00:00 AM,Personal Vehicle Passengers,10686762,5116391
US-Mexico Border,07/01/2000 12:00:00 AM,Personal Vehicles,7783451,6501809
US-Canada Border,07/01/2000 12:00:00 AM,Personal Vehicles,4159358,2473493
US-Mexico Border,07/01/2000 12:00:00 AM,Pedestrians,4088003,3693610
US-Canada Border,07/01/2000 12:00:00 AM,Bus Passengers,575806,246329
US-Canada Border,07/01/2000 12:00:00 AM,Trucks,528835,512962
US-Canada Border,07/01/2000 12:00:00 AM,Truck Containers Full,421547,379637
US-Mexico Border,07/01/2000 12:00:00 AM,Trucks,357425,404033
US-Mexico Border,07/01/2000 12:00:00 AM,Bus Passengers,307415,237400
US-Mexico Border,07/01/2000 12:00:00 AM,Truck Containers Full,191885,261352
US-Mexico Border,07/01/2000 12:00:00 AM,Truck Containers Empty,157157,140207
US-Canada Border,07/01/2000 12:00:00 AM,Rail Containers Full,95670,107922
US-Canada Border,07/01/2000 12:00:00 AM,Truck Containers Empty,80843,88734
US-Canada Border,07/01/2000 12:00:00 AM,Pedestrians,79892,36072
US-Canada Border,07/01/2000 12:00:00 AM,Train Passengers,36693,18626
US-Canada Border,07/01/2000 12:00:00 AM,Rail Containers Empty,33570,43579
US-Mexico Border,07/01/2000 12:00:00 AM,Rail Containers Full,25826,27755
US-Mexico Border,07/01/2000 12:00:00 AM,Rail Containers Empty,24979,31213
US-Mexico Border,07/01/2000 12:00:00 AM,Buses,23883,18943
US-Canada Border,07/01/2000 12:00:00 AM,Buses,21755,10478
US-Canada Border,07/01/2000 12:00:00 AM,Trains,2768,2505
US-Mexico Border,07/01/2000 12:00:00 AM,Train Passengers,1539,1032
US-Mexico Border,07/01/2000 12:00:00 AM,Trains,602,725
US-Mexico Border,07/01/1999 12:00:00 AM,Personal Vehicle Passengers,20014202,13931715
US-Canada Border,07/01/1999 12:00:00 AM,Personal Vehicle Passengers,10048010,5082842
US-Mexico Border,07/01/1999 12:00:00 AM,Personal Vehicles,7615057,6494236
US-Canada Border,07/01/1999 12:00:00 AM,Personal Vehicles,4213561,2461656
US-Mexico Border,07/01/1999 12:00:00 AM,Pedestrians,3856641,3692501
US-Canada Border,07/01/1999 12:00:00 AM,Bus Passengers,544407,244301
US-Canada Border,07/01/1999 12:00:00 AM,Trucks,517183,512933
US-Canada Border,07/01/1999 12:00:00 AM,Truck Containers Full,392045,379553
US-Mexico Border,07/01/1999 12:00:00 AM,Trucks,360473,404330
US-Mexico Border,07/01/1999 12:00:00 AM,Bus Passengers,317179,236857
US-Mexico Border,07/01/1999 12:00:00 AM,Truck Containers Full,202335,261753
US-Mexico Border,07/01/1999 12:00:00 AM,Truck Containers Empty,173161,139983
US-Canada Border,07/01/1999 12:00:00 AM,Rail Containers Full,80503,108108
US-Canada Border,07/01/1999 12:00:00 AM,Pedestrians,80203,35772
US-Canada Border,07/01/1999 12:00:00 AM,Truck Containers Empty,66373,88886
US-Canada Border,07/01/1999 12:00:00 AM,Train Passengers,31441,18539
US-Canada Border,07/01/1999 12:00:00 AM,Rail Containers Empty,27410,43689
US-Mexico Border,07/01/1999 12:00:00 AM,Buses,26025,18895
US-Mexico Border,07/01/1999 12:00:00 AM,Rail Containers Empty,22399,31273
US-Canada Border,07/01/1999 12:00:00 AM,Buses,22135,10399
US-Mexico Border,07/01/1999 12:00:00 AM,Rail Containers Full,19151,27813
US-Canada Border,07/01/1999 12:00:00 AM,Trains,2706,2503
US-Mexico Border,07/01/1999 12:00:00 AM,Train Passengers,1206,1031
US-Mexico Border,07/01/1999 12:00:00 AM,Trains,494,726
US-Mexico Border,07/01/1998 12:00:00 AM,Personal Vehicle Passengers,18363970,13901357
US-Canada Border,07/01/1998 12:00:00 AM,Personal Vehicle Passengers,10112279,5048394
US-Mexico Border,07/01/1998 12:00:00 AM,Personal Vehicles,6815671,6492035
US-Canada Border,07/01/1998 12:00:00 AM,Personal Vehicles,4012998,2451030
US-Mexico Border,07/01/1998 12:00:00 AM,Pedestrians,3276123,3695353
US-Canada Border,07/01/1998 12:00:00 AM,Trucks,483125,513138
US-Canada Border,07/01/1998 12:00:00 AM,Bus Passengers,456603,242847
US-Mexico Border,07/01/1998 12:00:00 AM,Bus Passengers,338899,236158
US-Mexico Border,07/01/1998 12:00:00 AM,Trucks,321469,404897
US-Canada Border,07/01/1998 12:00:00 AM,Truck Containers Full,319806,379962
US-Mexico Border,07/01/1998 12:00:00 AM,Truck Containers Full,161387,262440
US-Mexico Border,07/01/1998 12:00:00 AM,Truck Containers Empty,137909,139997
US-Canada Border,07/01/1998 12:00:00 AM,Pedestrians,83067,35448
US-Canada Border,07/01/1998 12:00:00 AM,Rail Containers Full,74907,108335
US-Canada Border,07/01/1998 12:00:00 AM,Truck Containers Empty,60078,89083
US-Canada Border,07/01/1998 12:00:00 AM,Train Passengers,30824,18455
US-Canada Border,07/01/1998 12:00:00 AM,Rail Containers Empty,26674,43806
US-Mexico Border,07/01/1998 12:00:00 AM,Buses,22639,18869
US-Canada Border,07/01/1998 12:00:00 AM,Buses,20089,10332
US-Mexico Border,07/01/1998 12:00:00 AM,Rail Containers Empty,16021,31377
US-Mexico Border,07/01/1998 12:00:00 AM,Rail Containers Full,13542,27911
US-Canada Border,07/01/1998 12:00:00 AM,Trains,2544,2503
US-Mexico Border,07/01/1998 12:00:00 AM,Train Passengers,661,1034
US-Mexico Border,07/01/1998 12:00:00 AM,Trains,470,728
US-Mexico Border,07/01/1997 12:00:00 AM,Personal Vehicle Passengers,19318704,13863996
US-Canada Border,07/01/1997 12:00:00 AM,Personal Vehicle Passengers,10384078,5011596
US-Mexico Border,07/01/1997 12:00:00 AM,Personal Vehicles,7218947,6487021
US-Canada Border,07/01/1997 12:00:00 AM,Personal Vehicles,4219377,2438835
US-Mexico Border,07/01/1997 12:00:00 AM,Pedestrians,3408951,3697328
US-Canada Border,07/01/1997 12:00:00 AM,Trucks,460960,513497
US-Canada Border,07/01/1997 12:00:00 AM,Bus Passengers,453718,241393
US-Mexico Border,07/01/1997 12:00:00 AM,Trucks,309583,405555
US-Mexico Border,07/01/1997 12:00:00 AM,Bus Passengers,279688,235858
US-Mexico Border,07/01/1997 12:00:00 AM,Truck Containers Full,150280,263214
US-Mexico Border,07/01/1997 12:00:00 AM,Truck Containers Empty,136006,140025
US-Canada Border,07/01/1997 12:00:00 AM,Truck Containers Full,115963,381783
US-Canada Border,07/01/1997 12:00:00 AM,Train Passengers,51278,18229
US-Canada Border,07/01/1997 12:00:00 AM,Pedestrians,49183,35353
US-Canada Border,07/01/1997 12:00:00 AM,Rail Containers Full,27229,108895
US-Canada Border,07/01/1997 12:00:00 AM,Truck Containers Empty,24298,89530
US-Mexico Border,07/01/1997 12:00:00 AM,Buses,20557,18857
US-Canada Border,07/01/1997 12:00:00 AM,Buses,18587,10275
US-Mexico Border,07/01/1997 12:00:00 AM,Rail Containers Full,17527,27983
US-Canada Border,07/01/1997 12:00:00 AM,Rail Containers Empty,15678,44000
US-Mexico Border,07/01/1997 12:00:00 AM,Rail Containers Empty,13813,31498
US-Canada Border,07/01/1997 12:00:00 AM,Trains,2766,2501
US-Mexico Border,07/01/1997 12:00:00 AM,Train Passengers,967,1034
US-Mexico Border,07/01/1997 12:00:00 AM,Trains,776,728
US-Mexico Border,07/01/1996 12:00:00 AM,Personal Vehicle Passengers,14769192,13857710
US-Canada Border,07/01/1996 12:00:00 AM,Personal Vehicle Passengers,11211921,4968538
US-Mexico Border,07/01/1996 12:00:00 AM,Personal Vehicles,5312598,6495177
US-Canada Border,07/01/1996 12:00:00 AM,Personal Vehicles,4328945,2425709
US-Mexico Border,07/01/1996 12:00:00 AM,Pedestrians,2758143,3703850
US-Canada Border,07/01/1996 12:00:00 AM,Bus Passengers,472417,239788
US-Canada Border,07/01/1996 12:00:00 AM,Trucks,438413,514019
US-Mexico Border,07/01/1996 12:00:00 AM,Trucks,269974,406496
US-Mexico Border,07/01/1996 12:00:00 AM,Bus Passengers,149136,236460
US-Mexico Border,07/01/1996 12:00:00 AM,Truck Containers Full,141683,264058
US-Mexico Border,07/01/1996 12:00:00 AM,Truck Containers Empty,125939,140123
US-Canada Border,07/01/1996 12:00:00 AM,Pedestrians,120515,34762
US-Canada Border,07/01/1996 12:00:00 AM,Truck Containers Full,105277,383703
US-Canada Border,07/01/1996 12:00:00 AM,Train Passengers,29658,18149
US-Canada Border,07/01/1996 12:00:00 AM,Rail Containers Full,24315,109482
US-Canada Border,07/01/1996 12:00:00 AM,Buses,19854,10209
US-Canada Border,07/01/1996 12:00:00 AM,Truck Containers Empty,17124,90033
US-Mexico Border,07/01/1996 12:00:00 AM,Buses,10860,18913
US-Canada Border,07/01/1996 12:00:00 AM,Rail Containers Empty,10327,44233
US-Mexico Border,07/01/1996 12:00:00 AM,Rail Containers Empty,6702,31670
US-Mexico Border,07/01/1996 12:00:00 AM,Rail Containers Full,6365,28133
US-Canada Border,07/01/1996 12:00:00 AM,Trains,2599,2501
US-Mexico Border,07/01/1996 12:00:00 AM,Train Passengers,659,1037
US-Mexico Border,07/01/1996 12:00:00 AM,Trains,545,729
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,11590003,13873568
US-Mexico Border,06/01/2019 12:00:00 AM,Personal Vehicles,6124800,6497767
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicle Passengers,5407844,4965466
US-Mexico Border,06/01/2019 12:00:00 AM,Pedestrians,3931845,3702256
US-Canada Border,06/01/2019 12:00:00 AM,Personal Vehicles,2832881,2422862
US-Mexico Border,06/01/2019 12:00:00 AM,Trucks,533555,405608
US-Canada Border,06/01/2019 12:00:00 AM,Trucks,485867,514216
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Full,399640,263110
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Full,366753,383822
US-Canada Border,06/01/2019 12:00:00 AM,Bus Passengers,202261,240051
US-Mexico Border,06/01/2019 12:00:00 AM,Bus Passengers,176567,236879
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Full,153206,109176
US-Mexico Border,06/01/2019 12:00:00 AM,Truck Containers Empty,139565,140126
US-Canada Border,06/01/2019 12:00:00 AM,Truck Containers Empty,129434,89757
US-Canada Border,06/01/2019 12:00:00 AM,Pedestrians,66714,34538
US-Canada Border,06/01/2019 12:00:00 AM,Rail Containers Empty,62544,44105
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Empty,49346,31547
US-Mexico Border,06/01/2019 12:00:00 AM,Rail Containers Full,45091,28014
US-Canada Border,06/01/2019 12:00:00 AM,Train Passengers,44094,17968
US-Mexico Border,06/01/2019 12:00:00 AM,Buses,12979,18954
US-Canada Border,06/01/2019 12:00:00 AM,Buses,8975,10218
US-Canada Border,06/01/2019 12:00:00 AM,Trains,2162,2503
US-Mexico Border,06/01/2019 12:00:00 AM,Trains,964,727
US-Mexico Border,06/01/2019 12:00:00 AM,Train Passengers,851,1038
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,11901838,13887453
US-Mexico Border,06/01/2018 12:00:00 AM,Personal Vehicles,6365057,6498702
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicle Passengers,4905379,4965889
US-Mexico Border,06/01/2018 12:00:00 AM,Pedestrians,3558082,3703271
US-Canada Border,06/01/2018 12:00:00 AM,Personal Vehicles,2561045,2421889
US-Mexico Border,06/01/2018 12:00:00 AM,Trucks,529177,404737
US-Canada Border,06/01/2018 12:00:00 AM,Trucks,498422,514327
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Full,387382,262235
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Full,364267,383959
US-Canada Border,06/01/2018 12:00:00 AM,Bus Passengers,211997,240248
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Full,147832,108904
US-Canada Border,06/01/2018 12:00:00 AM,Truck Containers Empty,144777,89370
US-Mexico Border,06/01/2018 12:00:00 AM,Truck Containers Empty,139354,140132
US-Mexico Border,06/01/2018 12:00:00 AM,Bus Passengers,98510,237853
US-Canada Border,06/01/2018 12:00:00 AM,Rail Containers Empty,64970,43958
US-Canada Border,06/01/2018 12:00:00 AM,Pedestrians,62091,34344
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Empty,50368,31414
US-Mexico Border,06/01/2018 12:00:00 AM,Rail Containers Full,44312,27899
US-Canada Border,06/01/2018 12:00:00 AM,Train Passengers,43571,17787
US-Mexico Border,06/01/2018 12:00:00 AM,Buses,14249,18987
US-Canada Border,06/01/2018 12:00:00 AM,Buses,9287,10224
US-Canada Border,06/01/2018 12:00:00 AM,Trains,1981,2507
US-Mexico Border,06/01/2018 12:00:00 AM,Trains,964,726
US-Mexico Border,06/01/2018 12:00:00 AM,Train Passengers,897,1039
US-Mexico Border,06/01/2017 12:00:00 AM,Personal Vehicle Passengers,11731813,13902741
US-Mexico Border,06/01/2017 12:00:00 AM,Personal Vehicles,6320366,6499967
US-Canada Border,06/01/2017 12:00:00 AM,Personal Vehicle Passengers,4487700,4969281
US-Mexico Border,06/01/2017 12:00:00 AM,Pedestrians,3255587,3706446
US-Canada Border,06/01/2017 12:00:00 AM,Personal Vehicles,2472936,2421527
US-Mexico Border,06/01/2017 12:00:00 AM,Trucks,527022,403870
US-Canada Border,06/01/2017 12:00:00 AM,Trucks,512687,514338
US-Mexico Border,06/01/2017 12:00:00 AM,Truck Containers Full,369940,261471
US-Canada Border,06/01/2017 12:00:00 AM,Truck Containers Full,369320,384063
US-Canada Border,06/01/2017 12:00:00 AM,Bus Passengers,211001,240456
US-Mexico Border,06/01/2017 12:00:00 AM,Truck Containers Empty,156613,140015
US-Canada Border,06/01/2017 12:00:00 AM,Truck Containers Empty,154521,88908
US-Canada Border,06/01/2017 12:00:00 AM,Rail Containers Full,137611,108701
US-Mexico Border,06/01/2017 12:00:00 AM,Bus Passengers,132685,238599
US-Canada Border,06/01/2017 12:00:00 AM,Rail Containers Empty,65420,43806
US-Canada Border,06/01/2017 12:00:00 AM,Pedestrians,51719,34221
US-Mexico Border,06/01/2017 12:00:00 AM,Rail Containers Empty,46129,31310
US-Mexico Border,06/01/2017 12:00:00 AM,Rail Containers Full,45191,27777
US-Canada Border,06/01/2017 12:00:00 AM,Train Passengers,40134,17629
US-Mexico Border,06/01/2017 12:00:00 AM,Buses,14379,19020
US-Canada Border,06/01/2017 12:00:00 AM,Buses,10443,10223
US-Canada Border,06/01/2017 12:00:00 AM,Trains,1871,2511
US-Mexico Border,06/01/2017 12:00:00 AM,Trains,975,724
US-Mexico Border,06/01/2017 12:00:00 AM,Train Passengers,909,1040
US-Mexico Border,06/01/2016 12:00:00 AM,Personal Vehicle Passengers,11315489,13921222
US-Mexico Border,06/01/2016 12:00:00 AM,Personal Vehicles,6158935,6502402
US-Canada Border,06/01/2016 12:00:00 AM,Personal Vehicle Passengers,4582280,4972045
US-Mexico Border,06/01/2016 12:00:00 AM,Pedestrians,3264963,3709600
US-Canada Border,06/01/2016 12:00:00 AM,Personal Vehicles,2542448,2420663
US-Canada Border,06/01/2016 12:00:00 AM,Trucks,517164,514318
US-Mexico Border,06/01/2016 12:00:00 AM,Trucks,496423,403209
US-Canada Border,06/01/2016 12:00:00 AM,Truck Containers Full,394620,383988
US-Mexico Border,06/01/2016 12:00:00 AM,Truck Containers Full,352449,260821
US-Canada Border,06/01/2016 12:00:00 AM,Bus Passengers,218490,240613
US-Mexico Border,06/01/2016 12:00:00 AM,Bus Passengers,182129,239003
US-Mexico Border,06/01/2016 12:00:00 AM,Truck Containers Empty,142749,139995
US-Canada Border,06/01/2016 12:00:00 AM,Rail Containers Full,116621,108644
US-Canada Border,06/01/2016 12:00:00 AM,Truck Containers Empty,98837,88837
US-Canada Border,06/01/2016 12:00:00 AM,Pedestrians,53150,34086
US-Canada Border,06/01/2016 12:00:00 AM,Rail Containers Empty,48600,43772
US-Mexico Border,06/01/2016 12:00:00 AM,Rail Containers Full,43394,27665
US-Canada Border,06/01/2016 12:00:00 AM,Train Passengers,39270,17474
US-Mexico Border,06/01/2016 12:00:00 AM,Rail Containers Empty,37247,31267
US-Mexico Border,06/01/2016 12:00:00 AM,Buses,14703,19051
US-Canada Border,06/01/2016 12:00:00 AM,Buses,10339,10222
US-Canada Border,06/01/2016 12:00:00 AM,Trains,2332,2512
US-Mexico Border,06/01/2016 12:00:00 AM,Train Passengers,1706,1035
US-Mexico Border,06/01/2016 12:00:00 AM,Trains,851,723
US-Mexico Border,06/01/2015 12:00:00 AM,Personal Vehicle Passengers,11190705,13940866
US-Mexico Border,06/01/2015 12:00:00 AM,Personal Vehicles,6133763,6505055
US-Canada Border,06/01/2015 12:00:00 AM,Personal Vehicle Passengers,4937039,4972297
US-Mexico Border,06/01/2015 12:00:00 AM,Pedestrians,3207279,3713214
US-Canada Border,06/01/2015 12:00:00 AM,Personal Vehicles,2698249,2418666
US-Canada Border,06/01/2015 12:00:00 AM,Trucks,508300,514362
US-Mexico Border,06/01/2015 12:00:00 AM,Trucks,481539,402646
US-Canada Border,06/01/2015 12:00:00 AM,Truck Containers Full,426184,383684
US-Mexico Border,06/01/2015 12:00:00 AM,Truck Containers Full,338842,260260
US-Canada Border,06/01/2015 12:00:00 AM,Bus Passengers,218086,240775
US-Mexico Border,06/01/2015 12:00:00 AM,Bus Passengers,212484,239193
US-Mexico Border,06/01/2015 12:00:00 AM,Truck Containers Empty,138490,140006
US-Canada Border,06/01/2015 12:00:00 AM,Rail Containers Full,127757,108506
US-Canada Border,06/01/2015 12:00:00 AM,Truck Containers Empty,110494,88681
US-Canada Border,06/01/2015 12:00:00 AM,Rail Containers Empty,58362,43667
US-Canada Border,06/01/2015 12:00:00 AM,Pedestrians,52145,33956
US-Mexico Border,06/01/2015 12:00:00 AM,Rail Containers Full,42379,27559
US-Canada Border,06/01/2015 12:00:00 AM,Train Passengers,38675,17322
